"","Year","Gear","Area","Type","Value","Stock"
"372",1977,12,1,1,0.479,"Agg"
"373",1978,12,1,1,0.504,"Agg"
"374",1979,12,1,1,0.541,"Agg"
"375",1980,12,1,1,0.565,"Agg"
"376",1981,12,1,1,0.602,"Agg"
"377",1982,12,1,1,0.639,"Agg"
"378",1983,12,1,1,0.676,"Agg"
"379",1984,12,1,1,0.713,"Agg"
"380",1985,12,1,1,0.749,"Agg"
"381",1986,12,1,1,0.799,"Agg"
"382",1987,12,1,1,0.848,"Agg"
"383",1988,12,1,1,0.897,"Agg"
"384",1989,12,1,1,0.946,"Agg"
"385",1990,12,1,1,1.008,"Agg"
"386",1991,12,1,1,1.057,"Agg"
"387",1992,12,1,1,1.118,"Agg"
"388",1993,12,1,1,1.192,"Agg"
"389",1994,12,1,1,1.253,"Agg"
"390",1995,12,1,1,1.327,"Agg"
"391",1996,12,1,1,1.401,"Agg"
"392",1997,12,1,1,1.487,"Agg"
"393",1998,12,1,1,1.573,"Agg"
"394",1999,12,1,1,1.659,"Agg"
"395",2000,12,1,1,1.757,"Agg"
"396",2001,12,1,1,1.855,"Agg"
"397",2002,12,1,1,1.954,"Agg"
"398",2003,12,1,1,2.064,"Agg"
"399",2004,12,1,1,2.187,"Agg"
"400",2005,12,1,1,2.298,"Agg"
"401",2006,12,1,1,2.433,"Agg"
"402",2007,12,1,1,2.556,"Agg"
"403",2008,12,1,1,2.691,"Agg"
"404",2009,12,1,1,2.838,"Agg"
"405",2010,12,1,1,2.986,"Agg"
"406",2011,12,1,1,3.133,"Agg"
"407",2012,12,1,1,3.281,"Agg"
"408",2013,12,1,1,3.44,"Agg"
"409",2014,12,1,1,3.6,"Agg"
"410",2015,12,1,1,3.772,"Agg"
"411",2016,12,1,1,3.932,"Agg"
"412",2017,12,1,1,4.104,"Agg"
"413",2018,12,1,1,4.264,"Agg"
"414",2019,12,1,1,4.436,"Agg"
"415",1951,13,1,2,0.002,"Agg"
"416",1952,13,1,2,0.002,"Agg"
"417",1953,13,1,2,0.002,"Agg"
"418",1954,13,1,2,0.002,"Agg"
"419",1955,13,1,2,0.002,"Agg"
"420",1956,13,1,2,0.002,"Agg"
"421",1957,13,1,2,0.002,"Agg"
"422",1958,13,1,2,0.002,"Agg"
"423",1959,13,1,2,0.002,"Agg"
"424",1960,13,1,2,0.002,"Agg"
"425",1961,13,1,2,0.002,"Agg"
"426",1962,13,1,2,0.002,"Agg"
"427",1963,13,1,2,0.002,"Agg"
"428",1964,13,1,2,0.002,"Agg"
"429",1965,13,1,2,0.002,"Agg"
"430",1966,13,1,2,0.002,"Agg"
"431",1967,13,1,2,0.002,"Agg"
"432",1968,13,1,2,0.002,"Agg"
"433",1969,13,1,2,0.002,"Agg"
"434",1970,13,1,2,0.002,"Agg"
"435",1971,13,1,2,0.002,"Agg"
"436",1972,13,1,2,0.002,"Agg"
"437",1973,13,1,2,0.002,"Agg"
"438",1974,13,1,2,0.002,"Agg"
"439",1975,13,1,2,0.002,"Agg"
"440",1976,13,1,2,0.002,"Agg"
"441",1977,13,1,2,0.002,"Agg"
"442",1978,13,1,2,0.002,"Agg"
"443",1979,13,1,2,0.002,"Agg"
"444",1980,13,1,2,0.002,"Agg"
"445",1981,13,1,2,0.002,"Agg"
"446",1982,13,1,2,0.002,"Agg"
"447",1983,13,1,2,0.002,"Agg"
"448",1984,13,1,2,0.002,"Agg"
"449",1985,13,1,2,0.002,"Agg"
"450",1986,13,1,2,0.002,"Agg"
"451",1987,13,1,2,0.002,"Agg"
"452",1988,13,1,2,0.002,"Agg"
"453",1989,13,1,2,0.002,"Agg"
"454",1990,13,1,2,0.002,"Agg"
"455",1991,13,1,2,0.002,"Agg"
"456",1992,13,1,2,0.002,"Agg"
"457",1993,13,1,2,0.002,"Agg"
"458",1994,13,1,2,0.002,"Agg"
"459",1995,13,1,2,0.002,"Agg"
"460",1996,13,1,2,0.002,"Agg"
"461",1997,13,1,2,0.002,"Agg"
